customerId,customerName,creditScore,income,debtToIncomeRatio,paymentHistory,employmentYears,loanAmount,loanPurpose,existingLoans,propertyValue,maritalStatus,educationLevel,industry,riskCategory,status,additionalInfo,recommendations,birthDate,age,employmentType,monthlyExpenses,savingsBalance,creditHistoryYears,numberOfCreditCards,creditCardUtilization,hasBankruptcy,bankruptcyYearsAgo,hasForeclosure,foreclosureYearsAgo,residenceType,yearsAtCurrentAddress,loanTerm,interestRate,collateralType,collateralValue,guarantorStatus,guarantorCreditScore,guarantorIncome,guarantorRelationship
CUST001,John Johnson,644,49708,0.39,74,5,227496,Mortgage,2,190621,Divorced,PhD,Education,Medium,Approved,Series.,Bank right data.,1991-11-11,34,Full-time,4510,133572,3,4,0.72,True,10,True,6,Own,12,Short-term,5.3,Vehicle,340336,None,642,54821,Spouse
CUST002,Dr. Jeffery Russell,730,33149,0.7,94,10,89628,Car,1,157906,Single,Masters,Finance,High,Rejected,Until success which.,Per drop either.,1961-06-18,64,Self-employed,2695,107068,4,5,0.12,False,0,False,0,Mortgage,4,Long-term,7.9,Vehicle,426882,None,,75185,Sibling
CUST003,Shannon Brown,597,87015,0.55,86,8,196890,Education,4,505205,Divorced,PhD,Retail,Medium,Rejected,Southern shake.,Him young explain.,1996-04-09,29,Part-time,3753,85948,5,3,0.59,True,6,False,0,Own,4,Short-term,4.94,Vehicle,276678,None,,37038,
CUST004,Samantha Wade,548,98879,0.6,97,13,88554,Education,4,436502,Single,PhD,Education,High,Approved,Case thank.,Small board street dog itself.,1978-12-22,47,Full-time,3027,124637,5,1,0.46,True,9,True,6,Rent,8,Long-term,5.89,None,317395,None,658,,None
CUST005,Joel Blackwell,558,77675,0.4,78,6,144643,Education,0,166106,Single,High School,Retail,Low,Approved,General his.,Board push.,1961-01-24,64,Self-employed,5481,29849,16,2,0.26,False,0,False,0,Rent,11,Medium-term,4.34,Real Estate,45232,Required,,51267,Parent
CUST006,Kyle Thompson,798,105300,0.42,99,7,179131,Mortgage,0,164184,Single,PhD,Education,High,Rejected,And statement by.,These plan.,1987-05-01,38,Part-time,3136,160554,4,5,0.25,False,0,False,0,Rent,6,Short-term,5.36,Vehicle,140893,Required,713,,
CUST007,Marcus Brooks,640,33131,0.58,74,12,99922,Personal,0,300110,Married,Bachelors,Education,Medium,Rejected,Clear such.,Tonight manage have bring.,1991-05-24,34,Part-time,3659,78461,14,4,0.71,True,8,False,0,Mortgage,6,Short-term,6.81,Real Estate,240084,None,714,,None
CUST008,John Briggs,603,89263,0.56,76,10,80757,Mortgage,4,258270,Divorced,Masters,Technology,Medium,Approved,Money professor.,Statement against.,1998-08-02,27,Full-time,5811,139458,15,1,0.11,False,0,True,5,Mortgage,1,Short-term,6.45,Vehicle,475440,None,748,,None
CUST009,Deborah Tyler,508,104552,0.67,72,11,134054,Car,2,584383,Married,High School,Finance,Medium,Approved,Student candidate.,Scientist environment avoid.,1971-04-16,54,Full-time,5264,189359,12,1,0.12,True,5,True,9,Mortgage,7,Medium-term,6.6,Vehicle,54512,Required,700,79549,
CUST010,Douglas Patton,646,72820,0.38,86,15,225629,Mortgage,4,179596,Single,High School,Healthcare,High,Approved,Old fear.,Responsibility oil defense system.,1995-07-05,30,Part-time,4000,149196,15,1,0.32,False,0,False,0,Rent,15,Long-term,7.59,Real Estate,580338,Required,,46495,Sibling
CUST011,Ashley Ellis,617,146735,0.28,70,3,80556,Mortgage,1,279976,Single,PhD,Technology,Medium,Approved,Mean also behind.,Appear crime ground third.,1989-07-07,36,Part-time,2767,47743,1,2,0.2,False,0,False,0,Rent,13,Long-term,7.87,Real Estate,314699,None,,51919,Parent
CUST012,Thomas Smith,511,52284,0.61,73,10,178531,Personal,0,485775,Divorced,Bachelors,Finance,Low,Approved,Act lead.,Scientist enter surface.,2004-02-16,21,Part-time,3676,199012,16,2,0.43,False,0,True,1,Rent,2,Short-term,5.42,None,336957,None,,63355,Spouse
CUST013,Brent Osborne,713,139355,0.32,91,4,151146,Car,0,240943,Single,PhD,Education,Medium,Rejected,Let seven.,Kitchen court left could.,1977-10-18,48,Self-employed,4992,76250,13,2,0.29,False,0,True,4,Mortgage,12,Long-term,4.57,Vehicle,459641,None,,,Parent
CUST014,Robert Owen,724,100205,0.24,75,3,88443,Education,2,255149,Married,PhD,Finance,High,Approved,Just senior computer alone.,Thought while.,1978-07-02,47,Part-time,5046,94769,9,3,0.13,False,0,True,3,Own,3,Short-term,7.84,None,309288,Required,725,,
CUST015,James Harrison,607,117246,0.23,94,7,92558,Education,4,280420,Single,High School,Education,Low,Rejected,Music memory interesting.,Interview detail hospital total.,1992-09-09,33,Part-time,5005,165904,5,4,0.82,False,0,True,3,Mortgage,2,Short-term,6.82,Vehicle,397331,None,,,
CUST016,Robert Kelley,731,135572,0.26,83,7,248305,Education,4,336699,Married,High School,Education,Medium,Approved,National when sport.,Store often.,1997-01-05,28,Part-time,5190,180422,20,2,0.59,True,10,True,1,Rent,4,Long-term,6.66,Vehicle,137148,Required,,,None
CUST017,Thomas Wade,776,116858,0.58,79,7,247692,Car,2,414185,Married,High School,Technology,High,Approved,Quality later feel.,Happen few.,2003-03-17,22,Part-time,4351,118694,7,3,0.32,False,0,True,10,Rent,8,Short-term,6.4,None,45455,None,,,Parent
CUST018,Derrick Bonilla,641,51379,0.6,94,12,176150,Business,3,403586,Single,Masters,Education,High,Rejected,Moment low.,Cold fight director.,1981-07-10,44,Full-time,5400,187041,14,2,0.48,True,3,False,0,Mortgage,9,Long-term,7.16,Real Estate,529844,Required,,,
CUST019,Megan Howell,567,44872,0.7,80,8,54216,Business,0,322580,Single,PhD,Finance,High,Rejected,Say although.,Better add.,1962-12-28,63,Full-time,3334,91139,5,1,0.57,False,0,False,0,Rent,6,Short-term,5.64,Vehicle,423009,None,,,Parent
