customerId,customerName,creditScore,income,debtToIncomeRatio,paymentHistory,employmentYears,loanAmount,loanPurpose,existingLoans,propertyValue,maritalStatus,educationLevel,industry,riskCategory,status,additionalInfo,recommendations,birthDate,age,employmentType,monthlyExpenses,savingsBalance,creditHistoryYears,numberOfCreditCards,creditCardUtilization,hasBankruptcy,bankruptcyYearsAgo,hasForeclosure,foreclosureYearsAgo,residenceType,yearsAtCurrentAddress,loanTerm,interestRate,collateralType,collateralValue,guarantorStatus,guarantorCreditScore,guarantorIncome,guarantorRelationship
CUST001,John Hanson,646,36083,0.66,72,7,150158,Education,4,569535,Married,Masters,Retail,Low,Approved,Serious rise new.,Remain recognize show.,1962-08-23,63,Self-employed,4437,52274,14,5,0.4,False,0,False,0,Mortgage,13,Short-term,4.31,Vehicle,145202,None,,61220,Spouse
CUST002,Desiree Gutierrez,553,56523,0.54,87,14,168746,Mortgage,3,441932,Single,PhD,Finance,High,Rejected,Team happen hour.,The school camera whom other.,1976-03-01,49,Full-time,4296,30627,19,2,0.35,False,0,True,7,Own,13,Short-term,6.82,Vehicle,220957,Required,728,53913,Spouse
CUST003,Cameron Guerrero,545,57609,0.35,73,6,244810,Car,0,501944,Divorced,Bachelors,Technology,Low,Rejected,Animal.,Book relationship ever sign.,1991-04-15,34,Part-time,3717,166091,7,5,0.67,True,2,False,0,Rent,1,Medium-term,6.67,Real Estate,401480,None,606,,Spouse
CUST004,Tanya Smith,745,30119,0.36,92,8,140481,Business,4,532463,Divorced,PhD,Retail,Medium,Rejected,Million work voice.,According state radio.,1975-06-01,50,Full-time,2816,117896,18,1,0.88,False,0,False,0,Mortgage,12,Medium-term,5.32,None,139293,None,,83060,
CUST005,Jennifer Villanueva,561,126948,0.35,85,11,102099,Car,2,183451,Single,Bachelors,Finance,High,Rejected,Force right lead.,And meeting finally ten.,1976-10-03,49,Part-time,5303,176105,1,1,0.74,True,9,True,10,Own,11,Long-term,7.42,Vehicle,526062,None,743,62149,
CUST006,Ashley Watkins DDS,754,98977,0.51,94,15,118605,Education,2,493183,Divorced,PhD,Technology,Medium,Rejected,Foot plan than.,Across difference.,1984-11-26,41,Full-time,4665,179759,15,3,0.2,False,0,False,0,Own,13,Medium-term,5.06,Real Estate,11267,Required,711,,
CUST007,Hannah Beck,568,146545,0.46,76,5,237531,Car,1,305790,Divorced,High School,Retail,Low,Approved,Benefit stock perform.,Clear service.,1999-04-26,26,Full-time,4892,113108,22,2,0.78,True,2,True,5,Rent,8,Short-term,6.66,Real Estate,231087,None,,,
CUST008,Jennifer Johnson,577,63021,0.64,100,11,54849,Business,2,181529,Single,High School,Retail,Medium,Approved,Quickly assume.,All course piece a compare.,1980-03-29,45,Part-time,4356,167412,6,3,0.11,True,6,False,0,Own,2,Long-term,5.77,Real Estate,86605,Required,726,80881,Sibling
CUST009,Donald Li,665,92974,0.59,84,12,236778,Mortgage,3,539848,Divorced,Masters,Healthcare,Low,Rejected,Suddenly public.,Common large.,1977-03-01,48,Self-employed,4322,94718,23,1,0.55,True,6,False,0,Rent,8,Long-term,4.15,None,151764,Required,,72463,
CUST010,Anne Alexander,695,143803,0.45,96,14,161275,Mortgage,2,493743,Single,PhD,Finance,Low,Rejected,Spend prevent loss.,Tonight happen.,1964-03-01,61,Part-time,3058,166402,4,4,0.25,True,1,False,0,Own,7,Medium-term,3.92,None,257357,None,,,Parent
